,日期,天气,温度
635,2012/10/19   星期五,晴,11~24℃
636,2012/10/20   星期六,晴,13~27℃
637,2012/10/21   星期日,晴转多云,16~28℃
638,2012/10/22   星期一,多云转小雨,19~26℃
639,2012/10/23   星期二,小雨转多云,14~24℃
640,2012/10/24   星期三,晴转多云,10~25℃
641,2012/10/25   星期四,阴转多云,16~25℃
642,2012/10/26   星期五,多云,17~27℃
643,2012/10/27   星期六,多云,18~28℃
644,2012/10/28   星期日,阴转多云,17~23℃
645,2012/10/29   星期一,多云转小雨,16~22℃
646,2012/10/30   星期二,中雨转小雨,15~18℃
647,2012/11/01   星期四,多云转晴,9~19℃
648,2012/11/02   星期五,多云,11~20℃
649,2012/11/03   星期六,多云转小雨,13~21℃
650,2012/11/04   星期日,小到中雨转阴,12~17℃
651,2012/11/05   星期一,晴,8~18℃
652,2012/11/06   星期二,晴,8~18℃
653,2012/11/07   星期三,晴,6~20℃
654,2012/11/08   星期四,多云转小雨,9~19℃
655,2012/11/09   星期五,小到中雨转中到大雨,13~17℃
656,2012/11/10   星期六,中雨,16~21℃
657,2012/11/11   星期日,阴转多云,10~15℃
658,2012/11/12   星期一,晴,5~18℃
659,2012/11/13   星期二,多云转晴,7~19℃
660,2012/11/14   星期三,晴,6~17℃
661,2012/11/15   星期四,晴转多云,7~17℃
662,2012/11/16   星期五,小雨转中到大雨,12~16℃
663,2012/11/17   星期六,小到中雨转晴,9~15℃
664,2012/11/18   星期日,晴,5~17℃
665,2012/11/19   星期一,晴,5~18℃
666,2012/11/20   星期二,多云转阴,7~18℃
667,2012/11/21   星期三,小雨转中雨,12~15℃
668,2012/11/22   星期四,小雨转中雨,13~17℃
669,2012/11/23   星期五,中到大雨转小雨,8~14℃
670,2012/11/24   星期六,阴转多云,6~12℃
671,2012/11/25   星期日,阴转中雨,8~15℃
672,2012/11/26   星期一,小雨转阴,7~11℃
673,2012/11/27   星期二,多云,2~13℃
674,2012/11/28   星期三,阴转小雨,7~14℃
675,2012/11/29   星期四,小雨转阴,9~14℃
676,2012/11/30   星期五,小雨,10~12℃
677,2012/12/01   星期六,小雨转中雨,9~11℃
678,2012/12/02   星期日,中雨转小雨,10~13℃
679,2012/12/03   星期一,阴转多云,6~13℃
680,2012/12/04   星期二,晴,3~11℃
681,2012/12/05   星期三,阴转晴,5~12℃
682,2012/12/06   星期四,晴,1~12℃
683,2012/12/07   星期五,多云转晴,3~15℃
684,2012/12/08   周六,多云,0~9℃
685,2012/12/09   周日,多云,0~9℃
686,2012/12/10   周一,多云,4~10℃
687,2012/12/11   星期二,多云,4~10℃
688,2012/12/12   星期三,多云,5~12℃
689,2012/12/13   星期四,多云,5~16℃
690,2012/12/14   星期五,阴转阵雨,11~22℃
691,2012/12/15   星期六,中雨,10~16℃
692,2012/12/16   星期日,小雨,8~12℃
693,2012/12/17   星期一,小雨转阴,7~10℃
694,2012/12/18   星期二,小雨,4~7℃
695,2012/12/19   星期三,阴转多云,0~9℃
696,2012/12/20   星期四,多云转小雨,2~11℃
697,2012/12/21   星期五,中雨转小雨,6~11℃
698,2012/12/22   星期六,小雨,5~8℃
699,2012/12/23   星期日,阴转多云,0~4℃
700,2012/12/24   星期一,晴,-3~7℃
701,2012/12/25   星期二,晴转多云,0~10℃
702,2012/12/26   星期三,小雨,7~9℃
703,2012/12/27   星期四,小雨转中到大雨,7~11℃
704,2012/12/28   星期五,中雨转阴,8~11℃
705,2012/12/29   星期六,阴转中雨,3~11℃
706,2012/12/30   星期日,小到中雪转阴,-1~3℃
707,2013/01/01   星期二,晴,-3~10℃
708,2013/01/02   星期三,晴转多云,0~7℃
709,2013/01/03   星期四,雨夹雪转小雪,-1~3℃
710,2013/01/04   星期五,小到中雪,-1~2℃
711,2013/01/05   星期六,中雪转雨夹雪,0~3℃
712,2013/01/06   星期日,小雨,1~4℃
713,2013/01/07   星期一,小雨,0~3℃
714,2013/01/08   星期二,小雨,0~4℃
715,2013/01/09   星期三,雨夹雪,1~4℃
716,2013/01/10   星期四,多云,0~8℃
717,2013/01/11   星期五,晴转多云,-1~10℃
718,2013/01/12   星期六,阴,2~10℃
719,2013/01/13   星期日,中雨,4~7℃
720,2013/01/14   星期一,阴转晴,2~10℃
721,2013/01/15   星期二,晴,1~12℃
722,2013/01/16   星期三,阴转多云,3~9℃
723,2013/01/17   星期四,阴转多云,1~6℃
724,2013/01/18   星期五,多云转晴,-2~7℃
725,2013/01/19   星期六,晴,-2~12℃
726,2013/01/20   星期日,多云转小雨,6~16℃
727,2013/01/21   星期一,阴转小雨,8~14℃
728,2013/01/22   星期二,小雨转阴,4~7℃
729,2013/01/23   星期三,阴转多云,1~11℃
730,2013/01/24   星期四,多云,1~12℃
731,2013/01/25   星期五,多云转晴,0~10℃
732,2013/01/26   星期六,晴转多云,-2~13℃
733,2013/01/27   星期日,晴,1~10℃
734,2013/01/28   星期一,晴,-2~13℃
735,2013/01/29   星期二,多云转阴,5~16℃
736,2013/01/30   星期三,多云转晴,5~19℃
737,2013/02/01   星期五,小雨,14~19℃
738,2013/02/02   星期六,小雨转阴,7~13℃
739,2013/02/03   星期日,阴转多云,6~15℃
740,2013/02/04   星期一,多云转小雨,8~16℃
741,2013/02/05   星期二,中雨转小到中雨,7~11℃
742,2013/02/06   星期三,阴转多云,4~9℃
743,2013/02/07   星期四,小雨转中雨,2~6℃
744,2013/02/08   星期五,小雪,-1~2℃
745,2013/02/09   星期六,小雪转阴,-1~2℃
746,2013/02/10   星期日,阴,0~6℃
747,2013/02/11   星期一,阴转小雨,3~8℃
748,2013/02/12   星期二,小到中雨转小雨,5~8℃
749,2013/02/13   星期三,多云,2~10℃
750,2013/02/14   星期四,小雨,7~11℃
751,2013/02/15   星期五,小雨转阴,5~8℃
752,2013/02/16   星期六,阴转多云,2~12℃
753,2013/02/17   星期日,多云转阴,7~19℃
754,2013/02/18   星期一,小雨转小到中雨,6~13℃
755,2013/02/19   星期二,中雨转小到中雨,2~6℃
756,2013/02/20   星期三,阴,2~7℃
757,2013/02/21   星期四,阴转小雨,4~9℃
758,2013/02/22   星期五,小雨转阴,7~11℃
759,2013/02/23   星期六,多云转晴,2~13℃
760,2013/02/24   星期日,雾转多云,2~16℃
761,2013/02/25   星期一,小雨转阴,10~18℃
762,2013/02/26   星期二,小雨转小到中雨,10~15℃
763,2013/02/27   星期三,阴转多云,8~13℃
764,2013/02/28   星期四,阴转多云,9~20℃
765,2013/03/01   星期五,小雨转中到大雨,3~14℃
766,2013/03/02   星期六,小雨转多云,2~6℃
767,2013/03/03   星期日,多云转晴,0~12℃
768,2013/03/04   星期一,晴,1~18℃
769,2013/03/05   星期二,晴,4~20℃
770,2013/03/06   星期三,晴,7~23℃
771,2013/03/07   星期四,多云转晴,9~26℃
772,2013/03/08   星期五,晴,11~28℃
773,2013/03/09   星期六,晴,13~32℃
774,2013/03/10   星期日,多云转小雨,7~21℃
775,2013/03/11   星期一,阴转多云,7~14℃
776,2013/03/12   星期二,多云,7~24℃
777,2013/03/13   星期三,阵雨转中雨,7~16℃
778,2013/03/14   星期四,阴转多云,3~12℃
779,2013/03/15   星期五,晴转多云,2~16℃
780,2013/03/16   星期六,多云,8~21℃
781,2013/03/17   星期日,小雨转中雨,12~23℃
782,2013/03/18   星期一,中雨转多云,13~22℃
783,2013/03/19   星期二,多云转阵雨,12~22℃
784,2013/03/20   星期三,中雨转阴,7~18℃
785,2013/03/21   星期四,多云,5~15℃
786,2013/03/22   星期五,阵雨转小雨,10~21℃
787,2013/03/23   星期六,小雨转中雨,10~15℃
788,2013/03/24   星期日,小到中雨转小雨,9~12℃
789,2013/03/25   星期一,小雨转多云,6~13℃
790,2013/03/26   星期二,阵雨,6~10℃
791,2013/03/27   星期三,小雨转多云,7~17℃
792,2013/03/28   星期四,多云,7~18℃
793,2013/03/29   星期五,阵雨转阴,10~15℃
794,2013/03/30   星期六,多云转阴,8~17℃
795,2013/04/01   星期一,多云转阴,10~19℃
796,2013/04/02   星期二,阴转多云,10~16℃
797,2013/04/03   星期三,多云,6~21℃
798,2013/04/04   星期四,小雨,11~20℃
799,2013/04/05   星期五,小雨转中雨,14~18℃
800,2013/04/06   星期六,小到中雨转小雨,8~16℃
801,2013/04/07   星期日,多云转晴,4~17℃
802,2013/04/08   星期一,晴,6~23℃
803,2013/04/09   星期二,多云,9~19℃
804,2013/04/10   星期三,阴转晴,8~19℃
805,2013/04/11   星期四,晴,8~20℃
806,2013/04/12   星期五,晴,7~24℃
807,2013/04/13   星期六,晴,12~28℃
808,2013/04/14   星期日,晴,15~30℃
809,2013/04/15   星期一,晴,15~32℃
810,2013/04/16   星期二,晴转雷阵雨,17~29℃
811,2013/04/17   星期三,阵雨转阴,17~25℃
812,2013/04/18   星期四,阴转阵雨,14~26℃
813,2013/04/19   星期五,阴,11~15℃
814,2013/04/20   星期六,小雨,10~14℃
815,2013/04/21   星期日,阴转多云,7~15℃
816,2013/04/22   星期一,多云,6~20℃
817,2013/04/23   星期二,雷阵雨转中雨,14~23℃
818,2013/04/24   星期三,小到中雨转多云,15~22℃
819,2013/04/25   星期四,多云,12~25℃
820,2013/04/26   星期五,多云转晴,10~26℃
821,2013/04/27   星期六,晴,13~28℃
822,2013/04/28   星期日,晴转多云,16~26℃
823,2013/04/29   星期一,多云,18~30℃
824,2013/04/30   星期二,暴雨转中雨,13~24℃
825,2013/05/01   星期三,阴转多云,11~21℃
826,2013/05/02   星期四,晴,10~23℃
827,2013/05/03   星期五,晴,11~24℃
828,2013/05/04   星期六,晴,13~26℃
829,2013/05/05   星期日,晴转多云,15~25℃
830,2013/05/06   星期一,阵雨,16~21℃
831,2013/05/07   星期二,小雨,17~22℃
832,2013/05/08   星期三,小雨转阵雨,17~21℃
833,2013/05/09   星期四,小雨转中雨,19~23℃
834,2013/05/10   星期五,小雨转阴,20~26℃
835,2013/05/11   星期六,小雨转多云,19~27℃
836,2013/05/12   星期日,晴,17~30℃
837,2013/05/13   星期一,晴,17~30℃
838,2013/05/14   星期二,晴,20~30℃
839,2013/05/15   星期三,多云转阵雨,21~27℃
840,2013/05/16   星期四,大到暴雨转大雨,20~23℃
841,2013/05/17   星期五,小雨,20~24℃
842,2013/05/18   星期六,小雨转阵雨,19~24℃
843,2013/05/19   星期日,阵雨转多云,20~28℃
844,2013/05/20   星期一,多云,18~30℃
845,2013/05/21   星期二,多云,19~30℃
846,2013/05/22   星期三,多云,18~29℃
847,2013/05/23   星期四,阵雨,22~25℃
848,2013/05/24   星期五,多云,21~30℃
849,2013/05/25   星期六,多云,22~30℃
850,2013/05/26   星期日,多云,22~28℃
851,2013/05/27   星期一,阵雨转中雨,24~29℃
852,2013/05/28   星期二,阴转多云,22~33℃
853,2013/05/29   星期三,晴转雷阵雨,23~35℃
854,2013/05/30   星期四,阵雨,21~25℃
855,2013/06/01   星期六,小雨转中雨,21~27℃
856,2013/06/02   星期日,小雨,20~24℃
857,2013/06/03   星期一,阴转多云,16~28℃
858,2013/06/04   星期二,晴转多云,18~30℃
859,2013/06/05   星期三,阵雨,21~27℃
860,2013/06/06   星期四,多云,21~30℃
861,2013/06/07   星期五,中雨转暴雨,22~24℃
862,2013/06/08   星期六,小雨转阵雨,22~27℃
863,2013/06/09   星期日,多云,21~27℃
864,2013/06/10   星期一,小雨,21~24℃
865,2013/06/11   星期二,阴转小雨,20~26℃
866,2013/06/12   星期三,阵雨,21~24℃
867,2013/06/13   星期四,阵雨,20~25℃
868,2013/06/14   星期五,中雨,19~23℃
869,2013/06/15   星期六,小雨转阵雨,20~29℃
870,2013/06/16   星期日,阴转阵雨,24~32℃
871,2013/06/17   星期一,多云,24~35℃
872,2013/06/18   星期二,多云转雷阵雨,26~36℃
873,2013/06/19   星期三,多云,27~36℃
874,2013/06/20   星期四,多云,25~33℃
875,2013/06/21   星期五,多云转阴,24~29℃
876,2013/06/22   星期六,阵雨,24~29℃
877,2013/06/23   星期日,阴转雷阵雨,25~34℃
878,2013/06/24   星期一,多云转中雨,26~32℃
879,2013/06/25   星期二,阵雨转中雨,25~33℃
880,2013/06/26   星期三,阵雨,25~29℃
881,2013/06/27   星期四,大雨转暴雨,23~26℃
882,2013/06/28   星期五,大雨转小雨,23~27℃
883,2013/06/29   星期六,阵雨,22~27℃
884,2013/06/30   星期日,阵雨,23~32℃
885,2013/07/01   星期一,多云,25~34℃
886,2013/07/02   星期二,多云,26~37℃
887,2013/07/03   星期三,晴,28~38℃
888,2013/07/04   星期四,晴,28~38℃
889,2013/07/05   星期五,晴转多云,28~37℃
890,2013/07/06   星期六,多云转雷阵雨,28~35℃
891,2013/07/07   星期日,多云,27~36℃
892,2013/07/08   星期一,多云转晴,28~36℃
893,2013/07/09   星期二,多云转晴,28~37℃
894,2013/07/10   星期三,晴,28~37℃
895,2013/07/11   星期四,晴,26~37℃
896,2013/07/12   星期五,晴转多云,25~35℃
897,2013/07/13   星期六,阵雨,27~32℃
898,2013/07/14   星期日,阵雨转多云,28~34℃
899,2013/07/15   星期一,多云转晴,26~36℃
900,2013/07/16   星期二,晴转多云,27~35℃
901,2013/07/17   星期三,晴转多云,27~35℃
902,2013/07/18   星期四,晴转多云,26~34℃
903,2013/07/19   星期五,多云,26~34℃
904,2013/07/20   星期六,多云,26~35℃
905,2013/07/21   星期日,多云,27~36℃
906,2013/07/22   星期一,多云转晴,28~37℃
907,2013/07/23   星期二,晴,28~39℃
908,2013/07/24   星期三,晴,28~39℃
909,2013/07/25   星期四,晴,28~40℃
910,2013/07/26   星期五,多云,29~39℃
911,2013/07/27   星期六,晴,28~39℃
912,2013/07/28   星期日,多云,28~39℃
913,2013/07/29   星期一,多云,29~40℃
914,2013/07/30   星期二,多云转雷阵雨,29~39℃
915,2013/08/01   星期四,多云,27~39℃
916,2013/08/02   星期五,晴转多云,26~36℃
917,2013/08/03   星期六,多云,26~37℃
918,2013/08/04   星期日,多云,28~38℃
919,2013/08/05   星期一,多云转晴,28~39℃
920,2013/08/06   星期二,晴,28~40℃
921,2013/08/07   星期三,晴,29~40℃
922,2013/08/08   星期四,晴,29~40℃
923,2013/08/09   星期五,晴,29~41℃
924,2013/08/10   星期六,晴,28~40℃
925,2013/08/11   星期日,晴,27~39℃
926,2013/08/12   星期一,晴,27~37℃
927,2013/08/13   星期二,晴转多云,27~36℃
928,2013/08/14   星期三,多云,27~36℃
929,2013/08/15   星期四,多云,27~36℃
930,2013/08/16   星期五,多云,27~35℃
931,2013/08/17   星期六,多云,26~36℃
932,2013/08/18   星期日,多云,26~35℃
933,2013/08/19   星期一,中到大雨转中雨,26~32℃
934,2013/08/20   星期二,多云转阵雨,25~33℃
935,2013/08/21   星期三,阵雨转中到大雨,27~31℃
936,2013/08/22   星期四,中到大雨转中雨,27~31℃
937,2013/08/23   星期五,小雨转多云,26~33℃
938,2013/08/24   星期六,多云,26~35℃
939,2013/08/25   星期日,多云转中雨,26~33℃
940,2013/08/26   星期一,阵雨转中雨,26~30℃
941,2013/08/27   星期二,中雨转阵雨,25~33℃
942,2013/08/28   星期三,多云,26~36℃
943,2013/08/29   星期四,多云,26~35℃
944,2013/08/30   星期五,多云转中到大雨,26~31℃
945,2013/09/01   星期日,多云,23~30℃
946,2013/09/02   星期一,多云,22~30℃
947,2013/09/03   星期二,多云,20~29℃
948,2013/09/04   星期三,多云,21~28℃
949,2013/09/05   星期四,多云,20~28℃
950,2013/09/06   星期五,阵雨,22~26℃
951,2013/09/07   星期六,小雨,22~25℃
952,2013/09/08   星期日,小雨转多云,21~28℃
953,2013/09/09   星期一,多云,22~31℃
954,2013/09/10   星期二,晴转多云,23~34℃
955,2013/09/11   星期三,晴转多云,25~34℃
956,2013/09/12   星期四,多云,25~35℃
957,2013/09/13   星期五,多云,25~35℃
958,2013/09/14   星期六,雷阵雨,25~31℃
959,2013/09/15   星期日,多云,24~30℃
960,2013/09/16   星期一,晴,22~31℃
961,2013/09/17   星期二,晴转多云,21~30℃
962,2013/09/18   星期三,多云,22~30℃
963,2013/09/19   星期四,多云,23~30℃
964,2013/09/20   星期五,多云转阵雨,23~29℃
965,2013/09/21   星期六,阵雨,24~28℃
966,2013/09/22   星期日,阵雨转小到中雨,25~28℃
967,2013/09/23   星期一,阵雨转多云,26~32℃
968,2013/09/24   星期二,多云,25~32℃
969,2013/09/25   星期三,阵雨转小雨,20~27℃
970,2013/09/26   星期四,阴转多云,19~24℃
971,2013/09/27   星期五,多云,18~28℃
972,2013/09/28   星期六,多云转阴,18~28℃
973,2013/09/29   星期日,阴转小雨,20~26℃
974,2013/09/30   星期一,阴转多云,20~27℃
975,2013/10/01   星期二,多云,18~29℃
976,2013/10/02   星期三,多云,18~28℃
977,2013/10/03   星期四,多云,17~25℃
978,2013/10/04   星期五,多云,18~26℃
979,2013/10/05   星期六,多云转阴,19~26℃
980,2013/10/06   星期日,小到中雨转大到暴雨,22~25℃
981,2013/10/07   星期一,暴雨转大雨,23~26℃
982,2013/10/08   星期二,中雨,23~26℃
983,2013/10/09   星期三,小雨,20~24℃
984,2013/10/10   星期四,阴转多云,19~26℃
985,2013/10/11   星期五,多云,20~30℃
986,2013/10/12   星期六,多云,18~28℃
987,2013/10/13   星期六,晴,17~28℃
988,2013/10/14   星期一,晴,17~28℃
989,2013/10/15   星期二,晴,17~28℃
990,2013/10/16   星期三,阴转多云,14~19℃
991,2013/10/17   星期四,多云,14~22℃
992,2013/10/18   星期五,阴转小雨,16~22℃
993,2013/10/19   星期六,小雨,17~21℃
994,2013/10/20   星期日,多云,16~23℃
995,2013/10/21   星期一,多云,16~23℃
996,2013/10/22   星期二,多云,14~23℃
997,2013/10/23   星期三,阴转多云,15~22℃
998,2013/10/24   星期四,多云,16~21℃
999,2013/10/25   星期五,多云,14~19℃
1000,2013/10/26   星期六,阴转多云,12~20℃
1001,2013/10/27   星期日,晴,9~22℃
1002,2013/10/28   星期一,晴转多云,10~23℃
1003,2013/10/29   星期二,晴转多云,13~25℃
1004,2013/10/30   星期三,多云转阴,15~22℃
1005,2013/11/01   星期五,阴转多云,16~22℃
1006,2013/11/02   星期六,小雨,17~22℃
1007,2013/11/03   星期日,小雨,18~22℃
1008,2013/11/04   星期一,阴转多云,15~21℃
1009,2013/11/05   星期二,多云,12~22℃
1010,2013/11/06   星期三,多云转阴,12~23℃
1011,2013/11/07   星期四,多云转晴,13~23℃
1012,2013/11/08   星期五,晴转多云,12~25℃
1013,2013/11/09   星期六,晴转多云,16~29℃
1014,2013/11/10   星期日,小雨,15~23℃
1015,2013/11/11   星期一,阴转多云,14~17℃
1016,2013/11/12   星期二,小雨,13~15℃
1017,2013/11/13   星期三,小雨转阴,11~16℃
1018,2013/11/14   星期四,阴转小雨,13~18℃
1019,2013/11/15   星期五,阴转多云,11~20℃
1020,2013/11/16   星期六,晴,7~19℃
1021,2013/11/17   星期日,晴,8~16℃
1022,2013/11/18   星期一,晴,5~15℃
1023,2013/11/19   星期二,晴,3~16℃
1024,2013/11/20   星期三,晴,2~19℃
1025,2013/11/21   星期四,晴,7~22℃
1026,2013/11/22   星期五,晴转多云,9~22℃
1027,2013/11/23   星期六,多云,10~22℃
1028,2013/11/24   星期日,阴转中雨,12~23℃
1029,2013/11/25   星期一,小雨转晴,7~15℃
1030,2013/11/26   星期二,晴,4~15℃
1031,2013/11/27   星期三,多云,6~15℃
1032,2013/11/28   星期四,阴转多云,1~8℃
1033,2013/11/29   星期五,晴,0~10℃
1034,2013/11/30   星期六,晴转多云,0~15℃
1035,2013/12/01   星期日,晴转多云,4~15℃
1036,2013/12/02   星期一,晴,3~16℃
1037,2013/12/03   星期二,晴,3~19℃
1038,2013/12/04   星期三,多云,5~17℃
1039,2013/12/05   星期四,霾,5~18℃
1040,2013/12/06   星期五,霾转多云,8~17℃
1041,2013/12/07   星期六,雾转霾,7~17℃
1042,2013/12/08   星期日,雾转霾,7~19℃
1043,2013/12/09   星期一,小雨转多云,9~15℃
1044,2013/12/10   星期二,阴转晴,3~10℃
1045,2013/12/11   星期三,晴转多云,2~11℃
1046,2013/12/12   星期四,晴转多云,2~13℃
1047,2013/12/13   星期五,阴转多云,6~13℃
1048,2013/12/14   星期六,晴转多云,5~15℃
1049,2013/12/15   星期日,阴转小雨,8~12℃
1050,2013/12/16   星期一,中雨转大雨,8~10℃
1051,2013/12/17   星期二,大雨转中雨,6~8℃
1052,2013/12/18   星期三,小雨转阴,5~9℃
1053,2013/12/19   星期四,多云,2~8℃
1054,2013/12/20   星期五,晴,0~8℃
1055,2013/12/21   星期六,霾,-1~7℃
1056,2013/12/22   星期日,霾,1~9℃
1057,2013/12/23   星期一,晴,0~10℃
1058,2013/12/24   星期二,晴转多云,-1~9℃
1059,2013/12/25   星期三,多云,1~10℃
1060,2013/12/26   星期四,霾,3~9℃
1061,2013/12/27   星期五,多云,0~5℃
1062,2013/12/28   星期六,晴,-3~6℃
1063,2013/12/29   星期日,晴,-3~7℃
1064,2013/12/30   星期一,晴,-3~11℃
1065,2014/01/01   星期三,晴,1~17℃
1066,2014/01/02   星期四,晴,2~19℃
1067,2014/01/03   星期五,多云,6~19℃
1068,2014/01/04   星期六,多云,4~12℃
1069,2014/01/05   星期日,霾转晴,3~12℃
1070,2014/01/06   星期一,霾转多云,2~13℃
1071,2014/01/07   星期二,多云,3~17℃
1072,2014/01/08   星期三,小雨,7~11℃
1073,2014/01/09   星期四,阴转多云,1~6℃
1074,2014/01/10   星期五,多云转晴,-2~10℃
1075,2014/01/11   星期六,多云转小雨,3~9℃
1076,2014/01/12   星期日,小雨,4~7℃
1077,2014/01/13   星期一,阴,1~7℃
1078,2014/01/14   星期二,阴转多云,0~8℃
1079,2014/01/15   星期三,多云转晴,-2~10℃
1080,2014/01/16   星期四,多云转晴,0~12℃
1081,2014/01/17   星期五,晴转多云,1~14℃
1082,2014/01/18   星期六,多云转晴,1~9℃
1083,2014/01/19   星期日,霾,-1~11℃
1084,2014/01/20   星期一,雾,-1~10℃
1085,2014/01/21   星期二,多云,-1~11℃
1086,2014/01/22   星期三,晴,-3~8℃
1087,2014/01/23   星期四,晴,-3~13℃
1088,2014/01/24   星期五,晴,3~19℃
1089,2014/01/25   星期六,晴转多云,8~22℃
1090,2014/01/26   星期日,阴转多云,4~11℃
1091,2014/01/27   星期一,多云,2~11℃
1092,2014/01/28   星期二,晴,5~14℃
1093,2014/01/29   星期三,多云,7~19℃
1094,2014/01/30   星期四,阴转多云,10~22℃
1095,2014/02/01   星期六,晴转多云,12~25℃
1096,2014/02/02   星期六,晴转多云,13~25℃
1097,2014/02/03   星期一,晴转多云,13~25℃
1098,2014/02/04   星期二,小雨转阴,5~12℃
1099,2014/02/05   星期三,阴,4~10℃
1100,2014/02/06   星期四,小雨,8~14℃
1101,2014/02/07   星期五,小雨转中雨,6~9℃
1102,2014/02/08   星期六,小雨转阴,4~8℃
1103,2014/02/09   星期日,阴转雨夹雪,2~4℃
1104,2014/02/10   星期一,雨夹雪转小雪,1~4℃
1105,2014/02/11   星期二,多云转阴,-2~5℃
1106,2014/02/12   星期三,阴转小雨,2~5℃
1107,2014/02/13   星期四,雨夹雪转小雨,2~6℃
1108,2014/02/14   星期五,小雨转阴,3~8℃
1109,2014/02/15   星期六,多云,1~11℃
1110,2014/02/16   星期日,小雨,5~10℃
1111,2014/02/17   星期一,小雨,8~10℃
1112,2014/02/18   星期二,小雨,6~10℃
1113,2014/02/19   星期三,中雪转小雪,1~4℃
1114,2014/02/20   星期四,多云,-2~9℃
1115,2014/02/21   星期五,晴,-1~10℃
1116,2014/02/22   星期六,多云,0~13℃
1117,2014/02/23   星期日,多云,3~15℃
1118,2014/02/24   星期一,多云转小雨,5~14℃
1119,2014/02/25   星期二,中雨,10~13℃
1120,2014/02/26   星期三,小雨转多云,10~16℃
1121,2014/02/27   星期四,雾转多云,7~15℃
1122,2014/02/28   星期五,阴转小雨,9~14℃
1123,2014/03/01   星期六,中雨转小雨,6~10℃
1124,2014/03/02   星期日,小雨转多云,5~10℃
1125,2014/03/03   星期一,多云转阴,6~11℃
1126,2014/03/04   星期二,小雨,8~11℃
1127,2014/03/05   星期四,多云转阴,5~11℃
1128,2014/03/06   星期四,多云转小雨,4~7℃
1129,2014/03/07   星期五,小雨,4~9℃
1130,2014/03/08   星期六,小雨转中雨,5~8℃
1131,2014/03/09   星期日,阴转多云,4~12℃
1132,2014/03/10   星期一,晴,3~14℃
1133,2014/03/11   星期二,晴,3~14℃
1134,2014/03/12   星期三,小雨转阵雨,11~18℃
1135,2014/03/13   星期四,阵雨转多云,7~13℃
1136,2014/03/14   星期五,多云转晴,2~15℃
1137,2014/03/15   星期六,晴,4~20℃
1138,2014/03/16   星期日,晴转多云,10~24℃
1139,2014/03/17   星期一,阵雨,14~24℃
1140,2014/03/18   星期二,晴转多云,12~28℃
1141,2014/03/19   星期三,多云转阵雨,13~22℃
1142,2014/03/20   星期四,小雨,8~13℃
1143,2014/03/21   星期五,晴,5~14℃
1144,2014/03/22   星期六,晴,1~17℃
1145,2014/03/23   星期日,晴,5~20℃
1146,2014/03/24   星期一,多云,11~23℃
1147,2014/03/25   星期二,阴转阵雨,15~24℃
1148,2014/03/26   星期三,多云,15~23℃
1149,2014/03/27   星期四,多云,13~23℃
1150,2014/03/28   星期五,多云转阵雨,14~22℃
1151,2014/03/29   星期六,阵雨转中雨,16~25℃
1152,2014/03/30   星期日,阴转多云,13~21℃
1153,2014/04/01   星期二,阴转小雨,11~17℃
1154,2014/04/02   星期三,多云转阴,10~17℃
1155,2014/04/03   星期四,阴转小雨,13~18℃
1156,2014/04/04   星期五,多云转晴,9~18℃
1157,2014/04/05   星期六,晴,8~24℃
1158,2014/04/06   星期日,晴转多云,8~19℃
1159,2014/04/07   星期一,小雨,12~18℃
1160,2014/04/08   星期二,阴转多云,11~20℃
1161,2014/04/09   星期三,多云转晴,11~24℃
1162,2014/04/10   星期四,多云,12~25℃
1163,2014/04/11   星期五,多云,14~23℃
1164,2014/04/12   星期六,阵雨,15~20℃
1165,2014/04/13   星期日,阵雨转多云,14~19℃
1166,2014/04/14   星期一,多云转晴,11~22℃
1167,2014/04/15   星期二,晴转多云,10~24℃
1168,2014/04/16   星期三,阴转阵雨,14~22℃
1169,2014/04/17   星期四,多云转阵雨,18~30℃
1170,2014/04/18   星期五,阵雨转多云,16~22℃
1171,2014/04/19   星期六,阵雨,14~19℃
1172,2014/04/20   星期日,阵雨转阴,14~19℃
1173,2014/04/21   星期一,阴转阵雨,12~17℃
1174,2014/04/22   星期二,阵雨转小雨,12~17℃
1175,2014/04/23   星期三,多云,11~21℃
1176,2014/04/24   星期四,多云转阵雨,12~20℃
1177,2014/04/25   星期五,阴转阵雨,15~19℃
1178,2014/04/26   星期六,阵雨转中雨,16~20℃
1179,2014/04/27   星期日,中雨转小雨,17~23℃
1180,2014/04/28   星期一,多云,14~22℃
1181,2014/04/29   星期二,多云转晴,13~25℃
1182,2014/04/30   星期三,晴,12~26℃
1183,2014/05/01   星期四,晴,13~29℃
1184,2014/05/02   星期五,晴,15~30℃
1185,2014/05/03   星期六,晴转多云,16~25℃
1186,2014/05/04   星期日,多云转中雨,17~24℃
1187,2014/05/05   星期一,中雨转多云,13~20℃
1188,2014/05/06   星期二,多云,11~23℃
1189,2014/05/07   星期三,晴转多云,12~27℃
1190,2014/05/08   星期四,多云,15~29℃
1191,2014/05/09   星期五,多云转阵雨,17~22℃
1192,2014/05/10   星期六,阵雨,18~23℃
1193,2014/05/11   星期日,阵雨转中雨,20~25℃
1194,2014/05/12   星期一,中雨转多云,17~27℃
1195,2014/05/13   星期二,多云转阴,15~26℃
1196,2014/05/14   星期三,中雨,20~26℃
1197,2014/05/15   星期四,阴转多云,19~26℃
1198,2014/05/16   星期五,多云,15~27℃
